Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-08-25,84.13,84.822,84.124,84.598
2010-08-26,84.597,84.874,84.322,84.46
2010-08-27,84.458,85.441,84.268,85.22
2010-08-30,85.347,85.899,84.5,84.545
2010-08-31,84.545,84.654,83.82,84.172
2010-09-01,84.164,84.655,83.655,84.448
2010-09-02,84.449,84.53,84.005,84.295
2010-09-03,84.295,85.209,84.163,84.324
2010-09-06,84.346,84.483,84.04,84.121
2010-09-07,84.128,84.255,83.51,83.767
2010-09-08,83.772,84.03,83.336,83.852
2010-09-09,83.853,84.013,83.492,83.832
2010-09-10,83.832,84.356,83.77,84.168
2010-09-13,84.189,84.353,83.503,83.733
2010-09-14,83.735,83.744,82.922,83.025
2010-09-15,83.025,85.764,82.872,85.74
2010-09-16,85.736,85.913,85.217,85.84
2010-09-17,85.82,85.914,85.594,85.84
2010-09-20,85.734,85.794,85.507,85.684
2010-09-21,85.685,85.76,84.986,85.148
2010-09-22,85.148,85.172,84.272,84.536
2010-09-23,84.537,84.664,84.265,84.397
2010-09-24,84.393,85.381,84.109,84.192
2010-09-27,84.293,84.383,84.111,84.273
2010-09-28,84.272,84.337,83.697,83.818
2010-09-29,83.815,84.077,83.495,83.712
2010-09-30,83.712,83.802,83.167,83.49
2010-10-01,83.49,83.57,83.151,83.21
2010-10-04,83.27,83.866,83.178,83.413
2010-10-05,83.413,83.972,82.959,83.217
2010-10-06,83.217,83.259,82.76,82.904
2010-10-07,82.904,83.021,82.108,82.304
2010-10-08,82.304,82.554,81.726,81.8
2010-10-11,81.559,82.174,81.55,82.071
2010-10-12,82.081,82.328,81.653,81.82
2010-10-13,81.819,81.995,81.714,81.792
2010-10-14,81.796,81.832,80.881,81.45
2010-10-15,81.45,81.61,80.87,81.434
2010-10-18,81.43,81.465,81.122,81.26
2010-10-19,81.272,81.906,81.135,81.605
2010-10-20,81.605,81.65,80.836,81.136
2010-10-21,81.139,81.801,80.911,81.284
2010-10-22,81.284,81.57,80.977,81.347
2010-10-25,81.38,81.393,80.414,80.77
2010-10-26,80.782,81.642,80.607,81.4
2010-10-27,81.4,81.975,81.31,81.704
2010-10-28,81.71,81.759,80.858,81.002
2010-10-29,81.004,81.062,80.31,80.388
2010-11-01,80.344,81.121,80.295,80.549
2010-11-02,80.549,80.952,80.469,80.664
2010-11-03,80.66,81.537,80.594,81.074
2010-11-04,81.074,81.211,80.585,80.75
2010-11-05,80.75,81.466,80.616,81.248
2010-11-08,81.278,81.424,80.997,81.14
2010-11-09,81.135,81.956,80.529,81.637
2010-11-10,81.637,82.784,81.546,82.24
2010-11-11,82.24,82.597,82.035,82.489
2010-11-12,82.484,82.643,81.65,82.481
2010-11-15,82.481,83.242,82.385,83.131
2010-11-16,83.122,83.584,82.842,83.378
2010-11-17,83.378,83.541,83.03,83.164
2010-11-18,83.164,83.776,83.1,83.459
2010-11-19,83.459,83.634,83.136,83.517
2010-11-22,83.427,83.554,83.224,83.273
2010-11-23,83.25,83.836,82.781,83.128
2010-11-24,83.123,83.654,82.944,83.55
2010-11-25,83.55,83.688,83.394,83.649
2010-11-26,83.658,84.174,83.63,84.093
2010-11-29,84.047,84.393,83.827,84.249
2010-11-30,84.249,84.289,83.425,83.663
2010-12-01,83.668,84.386,83.382,84.159
2010-12-02,84.159,84.36,83.499,83.84
2010-12-03,83.83,83.85,82.51,82.534
2010-12-06,82.698,82.985,82.568,82.619
2010-12-07,82.619,83.648,82.333,83.473
2010-12-08,83.473,84.296,83.458,84.044
2010-12-09,84.038,84.105,83.525,83.748
2010-12-10,83.748,84.006,83.446,83.935
2010-12-13,83.983,84.344,83.102,83.459
2010-12-14,83.458,83.772,82.84,83.627
2010-12-15,83.626,84.479,83.624,84.289
2010-12-16,84.272,84.436,83.899,84
2010-12-17,84.006,84.196,83.685,83.97
2010-12-20,83.974,84.106,83.624,83.783
2010-12-21,83.783,83.894,83.494,83.737
2010-12-22,83.737,83.843,83.407,83.563
2010-12-23,83.571,83.571,82.854,83.007
2010-12-24,83.007,83.15,82.854,82.862
2010-12-27,82.893,82.965,82.644,82.777
2010-12-28,82.787,82.793,81.804,82.412
2010-12-29,82.398,82.42,81.596,81.655
2010-12-30,81.662,81.839,81.284,81.488
2010-12-31,81.487,81.529,80.88,81.146
2011-01-03,81.01,81.74,81.01,81.73
2011-01-04,81.72,82.27,81.61,82.09
2011-01-05,82.087,83.37,81.89,83.22
2011-01-06,83.21,83.39,82.88,83.27
2011-01-07,83.26,83.66,82.86,83.14
2011-01-10,83.12,83.27,82.67,82.69
2011-01-11,82.7,83.48,82.68,83.33
2011-01-12,83.34,83.45,82.83,83.03
2011-01-13,83.02,83.14,82.58,82.76
2011-01-14,82.77,83.06,82.41,82.86
2011-01-17,82.88,83,82.36,82.67
2011-01-18,82.67,82.81,82.33,82.605
2011-01-19,82.6,82.68,81.85,82.105
2011-01-20,82.105,83.12,82.035,82.98
2011-01-21,82.99,83.09,82.53,82.575
2011-01-24,82.665,82.92,82.3,82.535
2011-01-25,82.53,82.66,81.98,82.195
2011-01-26,82.2,82.605,81.98,82.225
2011-01-27,82.24,83.2,82.02,82.835
2011-01-28,82.84,82.92,81.99,82.115
2011-01-31,82.13,82.25,81.91,82.06
2011-02-01,82.06,82.15,81.31,81.365
2011-02-02,81.365,81.85,81.36,81.55
2011-02-03,81.545,82.05,81.4,81.62
2011-02-04,81.62,82.45,81.125,82.185
2011-02-07,82.27,82.46,82.16,82.33
2011-02-08,82.33,82.42,81.77,82.28
2011-02-09,82.29,82.66,82.2,82.355
2011-02-10,82.35,83.36,82.335,83.35
2011-02-11,83.35,83.67,83.24,83.435
2011-02-14,83.465,83.49,83.09,83.27
2011-02-15,83.27,83.91,83.195,83.72
2011-02-16,83.725,83.97,83.5,83.67
2011-02-17,83.67,83.75,83.16,83.32
2011-02-18,83.32,83.53,83.03,83.18
