"","Data","sp500","uk100","dax","nikkei","wig20","logReturnSP500","logReturnUK100","logReturnDax","logReturnNikkei","logReturnWig20"
"2194","2018-06-18",2773.75,10108.7929846871,14915.2323730055,205.164590626611,580.788702731163,-0.00212842280008729,-0.00263228621897227,-0.0125854845772029,-0.00705035262757736,-0.0269541372594535
"2195","2018-06-19",2762.59,10016.9279409827,14687.1756255792,202.476415523039,569.910244007309,-0.00403154976596465,-0.00912918171333921,-0.0154082910711324,-0.0131891248962628,-0.0189081303253822
"2196","2018-06-20",2767.32,10049.672582579,14693.3021608546,204.39344648537,577.69077086043,0.00171069733631146,0.0032635991952521,0.000417048041812862,0.00942338239995166,0.0135598452226651
"2197","2018-06-21",2749.76,10009.4578305273,14524.2440071972,206.508749738372,576.929885735744,-0.00636570769229206,-0.00400962605073296,-0.0115725009491889,0.0102959875069333,-0.00131798306306408
"2198","2018-06-22",2754.88,10185.4449512092,14666.6355761271,204.717065187744,583.214463874021,0.00186024934473128,0.017429306561759,0.0097559717522131,-0.00871392710691854,0.0108342373331132
"2199","2018-06-25",2717.07,9971.7703921074,14357.3083403538,203.562641248086,580.802978504444,-0.0138197906651465,-0.0212015955013118,-0.0213161208672012,-0.00565507909401841,-0.00414338949185389
"2200","2018-06-26",2723.06,9968.02475502836,14249.3390326,203.061094650355,578.270933923402,0.00220215414730962,-0.000375694644347391,-0.00754858260948232,-0.0024668842853961,-0.0043690891180086
"2201","2018-06-27",2699.63,9998.01920453353,14273.704529955,202.037174788635,569.271428191984,-0.00864152138680208,0.00300454833516461,0.00170847849587652,-0.00505517855529369,-0.0156851555737196
"2202","2018-06-28",2716.31,9959.36809342592,14080.4898072454,201.60402295729,556.078109268189,0.00615961503922069,-0.00387336867837895,-0.0136288628863532,-0.00214622293280353,-0.0234485784058176
"2203","2018-06-29",2718.37,10080.558085508,14369.6213173904,201.491549003135,570.121527963178,0.00075809434912788,0.0120950015877206,0.0203262098683989,-0.000558051067280019,0.0249407763772762
"2204","2018-07-02",2726.71,9918.20081207868,14239.5369131421,196.748480092367,560.575040998783,0.00306331826963824,-0.0162370916392298,-0.00909396212910529,-0.0238212778790068,-0.0168864292595599
"2205","2018-07-03",2713.22,10017.6651407011,14397.2998810828,197.002667631234,573.19040543409,-0.00495963280858103,0.00997851351608681,0.0110182954314233,0.00129110772449259,0.0222548414166361
"2207","2018-07-05",2736.61,10051.8508725542,14570.7889599383,194.701130418282,579.339153794493,0.00858380669408465,0.00340673535858116,0.011978087617404,-0.0117515516112467,0.0106701067194512
"2208","2018-07-06",2759.82,10117.27362074,14678.5814969694,197.315233239452,580.619400025361,0.00844553208470344,0.00648743852620726,0.00737062188636628,0.0133369002499606,0.00220740085324245
"2209","2018-07-09",2784.17,10188.8410310781,14737.0591414272,198.940711605081,585.874427862322,0.00878434361527436,0.00704888235827283,0.00397596110263088,0.00820423014096772,0.00901001490398556
"2210","2018-07-10",2793.84,10211.6666224146,14803.2471267741,199.988197241218,592.426241549574,0.00346718979967608,0.00223774831970935,0.00448120581467037,0.00525150231145588,0.0111208987340703
"2211","2018-07-11",2774.02,10026.0954544254,14495.6631372503,195.937017018806,579.211847295077,-0.00711946195397317,-0.0183396136912837,-0.0209970464567526,-0.020465085164334,-0.0225580829776373
"2212","2018-07-12",2798.29,10103.299837583,14578.2416915609,197.178988153954,583.839857362833,0.00871098466152898,0.00767084759460879,0.00568061131517261,0.00631861969973357,0.0079584329330924
"2213","2018-07-13",2801.31,10139.4428637597,14650.8989801044,201.167531669797,584.310506884232,0.00107864857947337,0.00357096517179123,0.00497157538860904,0.0200261662448016,0.000805803022060125
"2215","2018-07-17",2809.55,10000.5638678713,14761.8570162757,201.030600947699,584.222378988496,0.0029371632597579,-0.0137915740596366,0.00754492795916661,-0.000680911800844619,-0.000150835114643755
"2216","2018-07-18",2815.62,10036.4520684065,14864.8579413135,202.002729504347,580.568649962855,0.00215815783558249,0.00358219397799076,0.00695327444678284,0.00482406971557037,-0.00627364208449066
"2217","2018-07-19",2804.49,10002.4342302235,14773.8325375568,202.464291431722,576.141914014277,-0.00396078174641534,-0.0033951857756751,-0.00614235571637778,0.00228232268066453,-0.0076540453556726
